iter	Passed	Remaining
411	3611	5154
412	3622	5148
413	3627	5134
414	3637	5127
415	3642	5113
416	3652	5106
417	3658	5093
418	3669	5088
419	3674	5073
420	3686	5070
421	3692	5056
422	3705	5053
423	3719	5053
424	3731	5048
425	3737	5036
426	3752	5036
427	3768	5036
428	3784	5037
429	3797	5033
430	3814	5036
431	3829	5035
432	3842	5031
433	3849	5020
434	3857	5010
435	3869	5006
436	3874	4992
437	3881	4980
438	3890	4971
439	3895	4958
440	3907	4952
441	3912	4938
442	3923	4933
443	3930	4922
444	3943	4918
445	3956	4914
446	3962	4902
447	3968	4890
448	3980	4884
449	3985	4870
450	3998	4866
451	4003	4854
452	4017	4850
453	4031	4848
454	4044	4845
455	4051	4833
456	4064	4829
457	4076	4823
458	4082	4811
459	4094	4806
460	4099	4793
461	4106	4782
462	4117	4776
463	4124	4764
464	4136	4759
465	4148	4753
466	4153	4740
467	4163	4733
468	4169	4720
469	4180	4714
470	4200	4717
471	4211	4710
472	4217	4698
473	4228	4692
474	4235	4680
475	4245	4673
476	4260	4671
477	4267	4660
478	4283	4659
479	4298	4656
480	4312	4652
481	4327	4650
482	4339	4645
483	4346	4633
484	4361	4631
485	4376	4628
486	4390	4625
487	4405	4622
488	4418	4617
489	4430	4611
490	4437	4600
491	4450	4595
492	4456	4582
493	4462	4570
494	4473	4563
495	4478	4551
496	4490	4545
497	4496	4532
498	4503	4521
499	4515	4515
500	4521	4503
501	4531	4495
502	4536	4482
503	4546	4474
504	4552	4462
505	4560	4451
506	4565	4439
507	4571	4427
508	4582	4420
509	4587	4408
510	4598	4400
511	4604	4388
512	4615	4381
513	4620	4368
514	4631	4361
515	4637	4349
516	4648	4342
517	4654	4330
518	4659	4318
519	4665	4306
520	4676	4299
521	4686	4291
522	4692	4280
523	4703	4272
524	4708	4260
525	4718	4252
526	4724	4240
527	4737	4234
528	4743	4223
529	4752	4214
530	4758	4202
531	4769	4195
532	4774	4183
533	4785	4175
534	4790	4163
535	4802	4157
536	4807	4144
537	4818	4137
538	4908	4198
539	4934	4203
540	4954	4203
541	4973	4202
542	4998	4206
543	5022	4210
544	5039	4206
545	5045	4194
546	5060	4190
547	5072	4184
548	5081	4174
549	5089	4164
550	5101	4156
551	5108	4145
552	5120	4139
553	5153	4149
554	5173	4147
555	5202	4154
556	5224	4154
557	5251	4159
558	5265	4154
559	5275	4144
560	5282	4133
561	5290	4123
562	5299	4113
563	5309	4104
564	5316	4093
565	5327	4085
566	5336	4075
567	5344	4064
568	5355	4056
569	5360	4043
570	5371	4035
571	5377	4023
572	5385	4013
573	5394	4003
574	5402	3993
575	5417	3987
576	5430	3981
577	5443	3974
578	5449	3962
579	5462	3955
580	5483	3954
581	5496	3947
582	5505	3937
583	5510	3925
584	5519	3915
585	5527	3904
586	5539	3897
587	5544	3884
588	5556	3877
589	5567	3868
590	5573	3856
591	5584	3848
592	5591	3837
593	5603	3830
594	5612	3820
595	5623	3811
596	5632	3802
597	5643	3793
598	5649	3782
599	5662	3774
600	5731	3804
601	5759	3807
602	5767	3796
603	5775	3786
604	5786	3777
605	5793	3766
606	5806	3759
607	5819	3752
608	5824	3739
609	5838	3732
610	5852	3726
611	5857	3713
612	5883	3714
613	5890	3702
614	5902	3694
615	5906	3682
616	5912	3670
617	5925	3662
618	5929	3649
619	5941	3641
620	5945	3628
621	5959	3621
622	5971	3613
623	5978	3602
624	5989	3593
625	5995	3581
626	6007	3573
627	6011	3560
628	6021	3551
629	6025	3539
630	6036	3530
631	6041	3518
632	6053	3509
633	6057	3497
634	6069	3488
635	6073	3476
636	6086	3468
637	6099	3461
638	6105	3449
639	6119	3442
640	6131	3434
641	6137	3422
642	6144	3411
643	6154	3402
644	6160	3390
645	6170	3381
646	6174	3368
647	6183	3358
648	6188	3346
649	6195	3336
650	6202	3325
651	6207	3313
652	6216	3303
653	6222	3291
654	6232	3282
655	6237	3270
656	6245	3260
657	6251	3249
658	6259	3238
659	6266	3228
660	6280	3221
661	6346	3240
662	6367	3236
663	6374	3225
664	6388	3218
665	6398	3208
666	6403	3197
667	6416	3189
668	6421	3177
669	6435	3169
670	6500	3187
671	6506	3175
672	6533	3174
673	6548	3167
674	6554	3155
675	6560	3144
676	6574	3136
677	6590	3129
678	6595	3118
679	6601	3106
680	6613	3098
681	6618	3086
682	6630	3077
683	6643	3069
684	6648	3057
685	6660	3048
686	6666	3037
687	6678	3028
688	6689	3019
689	6694	3007
690	6707	2999
691	6721	2991
692	6737	2984
693	6742	2972
694	6755	2964
695	6760	2952
696	6772	2944
697	6784	2935
698	6789	2923
699	6805	2916
700	6819	2908
701	6824	2897
702	6830	2885
703	6834	2873
704	6845	2864
705	6849	2852
706	6860	2843
707	6865	2831
708	6871	2820
709	6881	2810
710	6885	2798
711	6895	2789
712	6901	2777
713	6905	2766
714	6915	2756
715	6920	2745
716	6931	2735
717	6935	2724
718	6946	2714
719	6950	2703
720	6961	2693
721	6966	2682
722	6978	2673
723	6982	2661
724	6994	2653
725	6999	2641
726	7012	2633
727	7024	2624
728	7029	2613
729	7044	2605
730	7056	2596
731	7061	2585
732	7074	2576
733	7079	2565
734	7090	2556
735	7100	2547
736	7107	2536
737	7120	2527
738	7125	2516
739	7135	2507
740	7141	2496
741	7151	2486
742	7157	2475
743	7168	2466
744	7173	2455
745	7185	2446
746	7195	2437
747	7201	2426
748	7211	2416
749	7218	2406
750	7232	2397
751	7237	2386
752	7249	2377
753	7262	2369
754	7267	2358
755	7281	2350
756	7297	2342
757	7312	2334
758	7323	2325
759	7328	2314
760	7342	2306
761	7348	2295
762	7361	2286
763	7374	2277
764	7380	2267
765	7393	2258
766	7405	2249
767	7411	2238
768	7422	2229
769	7427	2218
770	7440	2210
771	7454	2201
772	7459	2190
773	7474	2182
774	7488	2174
775	7503	2165
776	7517	2157
777	7522	2146
778	7537	2138
779	7563	2133
780	7570	2122
781	7583	2114
782	7596	2105
783	7603	2094
784	7617	2086
785	7631	2077
786	7645	2069
787	7651	2058
788	7659	2048
789	7675	2040
790	7691	2032
791	7707	2024
792	7725	2016
793	7731	2005
794	7745	1997
795	7755	1987
796	7761	1976
797	7773	1967
798	7778	1956
799	7797	1949
800	7806	1939
801	7812	1928
802	7823	1919
803	7833	1909
804	7840	1899
805	7849	1889
806	7856	1878
807	7866	1869
808	7872	1858
809	7884	1849
810	7890	1838
811	7902	1829
812	7914	1820
813	7920	1809
814	7931	1800
815	7938	1790
816	7948	1780
817	7959	1770
818	7965	1760
819	7974	1750
820	7981	1740
821	7990	1730
822	7997	1719
823	8008	1710
824	8014	1700
825	8027	1690
826	8042	1682
827	8048	1671
828	8055	1661
829	8069	1652
830	8074	1642
831	8086	1632
832	8098	1623
833	8104	1613
834	8116	1603
835	8121	1593
836	8134	1584
837	8147	1575
838	8152	1564
839	8166	1555
840	8179	1546
841	8185	1535
842	8197	1526
843	8208	1517
844	8214	1506
845	8229	1498
846	8243	1489
847	8249	1478
848	8254	1468
849	8269	1459
850	8275	1448
851	8284	1439
852	8290	1428
853	8300	1419
854	8306	1408
855	8316	1399
856	8321	1388
857	8332	1379
858	8337	1368
859	8349	1359
860	8354	1348
861	8359	1338
862	8372	1329
863	8378	1318
864	8385	1308
865	8397	1299
866	8410	1290
867	8416	1279
868	8431	1271
869	8445	1261
870	8457	1252
871	8466	1242
872	8500	1236
873	8512	1227
874	8517	1216
875	8529	1207
876	8542	1198
877	8548	1187
878	8559	1178
879	8564	1167
880	8574	1158
881	8580	1147
882	8590	1138
883	8594	1127
884	8599	1117
885	8604	1107
886	8610	1096
887	8615	1086
888	8621	1076
889	8627	1066
890	8638	1056
891	8644	1046
892	8654	1036
893	8659	1026
894	8671	1017
895	8676	1007
896	8685	997
897	8691	987
898	8700	977
899	8705	967
900	8710	957
901	8718	947
902	8728	937
903	8733	927
904	8743	917
905	8748	907
906	8758	898
907	8763	887
908	8772	878
909	8777	868
910	8787	858
911	8793	848
912	8802	838
913	8808	828
914	8819	819
915	8825	809
916	8837	799
917	8842	789
918	8853	780
919	8858	770
920	8868	760
921	8874	750
922	8884	741
923	8898	731
924	8904	722
925	8914	712
926	8921	702
927	8928	692
928	8939	683
929	8944	673
930	8955	663
931	8962	653
932	8974	644
933	8984	634
934	8991	625
935	9000	615
936	9006	605
937	9018	596
938	9024	586
939	9036	576
940	9049	567
941	9055	557
942	9067	548
943	9078	538
944	9087	528
945	9097	519
946	9103	509
947	9113	499
948	9118	490
949	9130	480
950	9140	470
951	9146	461
952	9155	451
953	9161	441
954	9171	432
955	9176	422
956	9186	412
957	9191	402
958	9201	393
959	9206	383
960	9211	373
961	9221	364
962	9226	354
963	9235	344
964	9241	335
965	9251	325
966	9256	315
967	9267	306
968	9272	296
969	9284	287
970	9289	277
971	9302	267
972	9312	258
973	9317	248
974	9327	239
975	9332	229
976	9337	219
977	9342	210
978	9347	200
979	9358	190
980	9364	181
981	9370	171
982	9375	162
983	9381	152
984	9386	142
985	9396	133
986	9402	123
987	9411	114
988	9415	104
989	9424	95
990	9428	85
991	9433	76
992	9443	66
993	9448	57
994	9458	47
995	9464	38
996	9473	28
997	9480	18
998	9489	9
999	9494	0
