iter	Passed	Remaining
411	3614	5158
412	3625	5153
413	3636	5146
414	3642	5133
415	3653	5129
416	3666	5126
417	3674	5115
418	3686	5111
419	3692	5098
420	3705	5095
421	3717	5091
422	3723	5078
423	3736	5075
424	3748	5071
425	3754	5058
426	3767	5055
427	3778	5050
428	3785	5037
429	3797	5033
430	3803	5021
431	3809	5008
432	3814	4995
433	3824	4987
434	3830	4975
435	3840	4967
436	3846	4955
437	3856	4948
438	3861	4934
439	3871	4927
440	3877	4915
441	3887	4908
442	3893	4895
443	3898	4882
444	3904	4869
445	3914	4862
446	3919	4849
447	3930	4842
448	3935	4829
449	3946	4823
450	3959	4819
451	3965	4807
452	3975	4800
453	3981	4787
454	3990	4779
455	3995	4766
456	4006	4760
457	4024	4762
458	4057	4782
459	4090	4801
460	4099	4792
461	4104	4779
462	4115	4773
463	4121	4760
464	4132	4754
465	4137	4741
466	4149	4735
467	4154	4722
468	4160	4709
469	4164	4696
470	4174	4688
471	4179	4675
472	4189	4667
473	4194	4654
474	4203	4646
475	4208	4632
476	4217	4624
477	4223	4612
478	4233	4604
479	4242	4595
480	4252	4588
481	4257	4575
482	4266	4566
483	4271	4553
484	4280	4545
485	4285	4532
486	4294	4523
487	4300	4511
488	4305	4499
489	4314	4490
490	4318	4477
491	4327	4468
492	4332	4455
493	4337	4442
494	4349	4437
495	4364	4434
496	4374	4426
497	4378	4414
498	4383	4401
499	4393	4393
500	4398	4380
501	4407	4372
502	4412	4359
503	4421	4351
504	4426	4338
505	4430	4325
506	4439	4317
507	4444	4304
508	4452	4295
509	4457	4283
510	4462	4270
511	4470	4260
512	4474	4248
513	4483	4238
514	4488	4226
515	4493	4215
516	4499	4203
517	4504	4191
518	4512	4182
519	4517	4170
520	4528	4163
521	4532	4150
522	4540	4141
523	4545	4129
524	4550	4116
525	4560	4109
526	4566	4098
527	4575	4090
528	4581	4079
529	4591	4071
530	4595	4059
531	4605	4051
532	4609	4039
533	4618	4030
534	4623	4018
535	4628	4006
536	4637	3998
537	4642	3986
538	4650	3977
539	4655	3965
540	4659	3953
541	4665	3942
542	4669	3930
543	4678	3921
544	4683	3910
545	4692	3901
546	4697	3890
547	4702	3878
548	4712	3871
549	4717	3859
550	4725	3850
551	4730	3839
552	4738	3830
553	4744	3819
554	4749	3807
555	4758	3799
556	4762	3788
557	4771	3779
558	4776	3768
559	4781	3756
560	4786	3745
561	4791	3734
562	4800	3726
563	4805	3714
564	4813	3706
565	4820	3695
566	4828	3687
567	4834	3676
568	4838	3665
569	4847	3656
570	4851	3645
571	4860	3636
572	4865	3625
573	4870	3614
574	4880	3607
575	4884	3595
576	4895	3588
577	4900	3577
578	4909	3569
579	4914	3558
580	4922	3550
581	4928	3539
582	4932	3528
583	4941	3520
584	4946	3508
585	4955	3500
586	4960	3489
587	4965	3478
588	4973	3470
589	4978	3459
590	4987	3451
591	4991	3440
592	4996	3429
593	5002	3419
594	5007	3408
595	5015	3399
596	5020	3389
597	5028	3380
598	5034	3370
599	5039	3359
600	5049	3352
601	5055	3342
602	5071	3339
603	5082	3331
604	5095	3327
605	5107	3320
606	5112	3310
607	5122	3302
608	5128	3292
609	5136	3284
610	5141	3273
611	5149	3265
612	5155	3254
613	5160	3244
614	5169	3235
615	5173	3225
616	5182	3217
617	5187	3206
618	5196	3198
619	5201	3188
620	5207	3178
621	5213	3168
622	5218	3158
623	5227	3150
624	5233	3140
625	5242	3132
626	5247	3121
627	5256	3113
628	5262	3104
629	5270	3095
630	5277	3086
631	5282	3075
632	5287	3065
633	5291	3054
634	5302	3048
635	5307	3037
636	5317	3030
637	5321	3019
638	5330	3011
639	5335	3001
640	5340	2990
641	5350	2983
642	5355	2973
643	5366	2966
644	5371	2956
645	5380	2948
646	5385	2938
647	5394	2930
648	5399	2920
649	5408	2912
650	5413	2902
